taxon,Minimum elevation,Maximum elevation,Source and Notes
Myiophobus inornatus,1000,2100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myiophobus lintoni,2400,2750,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myiophobus ochraceiventris,2200,3700,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myiophobus phoenicomitra,1100,1400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myiophobus pulcher,1500,2600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myiophobus roraimae,900,1800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myiornis albiventris,350,1100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myiornis ecaudatus,0,1000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myiotheretes fumigatus,2300,3450,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myiotheretes fuscorufus,2200,3400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myiotheretes striaticollis,1700,3700,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myiotriccus ornatus,700,2200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myiozetetes cayanensis,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Myiozetetes granadensis,0,1400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myiozetetes luteiventris,0,1000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myiozetetes similis,0,1800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myornis senilis,2600,3450,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmeciza atrothorax,0,1000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmeciza castanea,125,1350,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Myrmeciza fortis,0,1300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmeciza goeldii,0,800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmeciza griseiceps,700,2900,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmeciza hemimelaena,0,1500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmeciza hyperythra,0,800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmeciza melanoceps,0,450,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Myrmia micrura,0,200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Myrmoborus leucophrys,0,1400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmoborus myotherinus,0,1250,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmochanes hemileucus,14,300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Myrmornis torquata,0,700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Myrmothera campanisona,0,1500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmotherula axillaris,0,1050,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmotherula brachyura,0,1000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmotherula hauxwelli,0,600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Myrmotherula ignota,0,1000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmotherula iheringi,4,650,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmotherula longicauda,400,1550,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmotherula longipennis,0,900,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Myrmotherula menetriesii,0,1100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmotherula multostriata,0,550,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Myrmotherula schisticolor,800,2000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmotherula sclateri,3,700,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrmotherula sunensis,300,700,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Myrtis fanny,700,3200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Nannopsittaca dachilleae,0,700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nasica longirostris,0,300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nemosia pileata,0,1300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Neochelidon tibialis,0,1600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Neochen jubata,0,500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Neocrex erythrops,0,3375,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Neoctantes niger,0,750,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Neomorphus geoffroyi,0,1200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Neopelma sulphureiventer,0,450,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Neopipo cinnamomea,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nephelornis oneilli,3000,3800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Netta erythrophthalma,0,3650,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Netta peposaca,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nomonyx dominicus,0,1500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nonnula brunnea,0,700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nonnula ruficapilla,0,1250,"Schulenberg, Thomas S., et al. ""Birds of Peru."""
Notharchus hyperrhynchus,0,1200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Notharchus tectus,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nothocercus bonapartei,1800,2100,"Schulenberg, Thomas S., et al. ""Birds of Peru."""
Nothocercus julius,2300,3400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nothocercus nigrocapillus,1300,3200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nothocrax urumutum,0,850,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nothoprocta curvirostris,2800,3900,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nothoprocta ornata,2500,4800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nothoprocta pentlandii,1500,4000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nothoprocta taczanowskii,2700,4000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nothura darwinii,0,4300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Notiochelidon flavipes,2400,3000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Notiochelidon murina,2500,4000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nyctanassa violacea,0,800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nyctibius aethereus,0,1325,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nyctibius bracteatus,0,550,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nyctibius grandis,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nyctibius griseus,0,2000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nycticorax nycticorax,3100,4700,"Schulenberg, Thomas S., et al. ""Birds of Peru."""
Nyctidromus albicollis,0,3000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nyctiphrynus ocellatus,0,1350,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nyctiprogne leucopyga,0,500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nystalus chacuru,0,2200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Nystalus striolatus,0,1200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Oceanites gracilis,0,150,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ochetorhynchus ruficaudus,1300,4300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ochthoeca cinnamomeiventris,1600,3300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ochthoeca diadema,1700,3100,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ochthoeca frontalis,1600,4000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ochthoeca fumicolor,2200,4200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ochthoeca jelskii,1300,3400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ochthoeca leucophrys,0,4000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ochthoeca oenanthoides,2800,4500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ochthoeca piurae,1200,3300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ochthoeca pulchella,1700,2800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ochthoeca rufipectoralis,2000,3600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ochthoeca thoracica,1600,3300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ochthornis littoralis,0,600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ocreatus underwoodii,600,4000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ocyalus latirostris,0,300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Odontophorus balliviani,800,3300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Odontophorus gujanensis,0,700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Odontophorus speciosus,800,2600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Odontophorus stellatus,0,1500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Odontorchilus branickii,800,2200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Onychorhynchus coronatus,0,1400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Onychorhynchus occidentalis,0,600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Opisthocomus hoazin,0,700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Opisthoprora euryptera,2600,3600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Oreomanes fraseri,2700,4850,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Oreonympha nobilis,2500,3800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Oreopholus ruficollis,3500,4600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Oreotrochilus estella,2400,5000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Oreotrochilus melanogaster,3500,4400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ornithion inerme,0,1200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ortalis erythroptera,0,1850,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ortalis guttata,0,2700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Orthopsittaca manilata,0,650,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Oryzoborus angolensis,0,1600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Oryzoborus atrirostris,0,1050,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Oryzoborus crassirostris,0,500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Oxyruncus cristatus,400,1100,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Pachyramphus albogriseus,0,3200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Pachyramphus castaneus,0,1700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Pachyramphus homochrous,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Pachyramphus marginatus,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Pachyramphus minor,0,800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Pachyramphus polychopterus,0,500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Pachyramphus rufus,0,1500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Pachyramphus spodiurus,0,1100,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Pachyramphus validus,0,3500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
